name,default_code,list_price,description
Ordinateur Portable HP,ORD-HP-001,8500.00,HP ProBook 450 G9 Intel Core i5 8GB RAM 256GB SSD
Imprimante Canon,IMP-CAN-001,2800.00,Canon PIXMA G3420 Multifonction WiFi
Ecran Dell 24 pouces,ECR-DEL-001,1950.00,Dell P2422H Full HD IPS HDMI
Clavier Logitech,CLV-LOG-001,1200.00,Logitech MX Keys Sans fil Retroeclaire
Souris Microsoft,SOU-MIC-001,450.00,Microsoft Surface Mouse Bluetooth
Disque dur externe 1TB,DSQ-SEA-001,650.00,Seagate Backup Plus USB 3.0 1TB
Casque audio Sony,CAS-SON-001,3200.00,Sony WH-1000XM4 Reduction de bruit
Webcam Logitech,WEB-LOG-001,850.00,Logitech C920 HD Pro 1080p
Routeur TP-Link,ROU-TPL-001,1500.00,TP-Link Archer AX73 WiFi 6 Gigabit
Switch Netgear,SWI-NET-001,800.00,Netgear GS108 8 ports Gigabit
Onduleur APC,OND-APC-001,950.00,APC Back-UPS 650VA Protection surtension
Tablette Samsung,TAB-SAM-001,5500.00,Samsung Galaxy Tab S8 11 pouces 128GB
Smartphone Xiaomi,TEL-XIA-001,3800.00,Xiaomi Redmi Note 12 Pro 256GB
Projecteur Epson,PRO-EPS-001,4200.00,Epson EB-X06 3600 lumens XGA
Scanner HP,SCA-HP-001,2100.00,HP ScanJet Pro 2500 f1 Recto-verso
Cable HDMI 2m,CAB-HDM-001,85.00,Cable HDMI 2.0 4K 2 metres
Hub USB-C,HUB-USB-001,380.00,Hub USB-C 7 ports USB 3.0
Carte memoire 64GB,MEM-SAN-001,180.00,SanDisk Ultra 64GB Classe 10
Batterie externe 20000mAh,BAT-ANK-001,550.00,Anker PowerCore 20000 Charge rapide
Housse laptop 15,HOU-THA-001,420.00,Thule Subterra 15.6 pouces Protection
